country_group,category,n,pct
Germany,Writing or debugging code,134,80.2
Germany,Learning or teaching programming concepts,69,41.3
Germany,Summarising technical material,63,37.7
Germany,Generating technical documentation,61,36.5
Germany,Creating test cases or testing strategies,59,35.3
Germany,Designing software architectures,22,13.2
Netherlands,Writing or debugging code,32,88.9
Netherlands,Learning or teaching programming concepts,22,61.1
Netherlands,Generating technical documentation,12,33.3
Netherlands,Creating test cases or testing strategies,10,27.8
Netherlands,Summarising technical material,8,22.2
Netherlands,Designing software architectures,5,13.9
United Kingdom,Writing or debugging code,69,79.3
United Kingdom,Learning or teaching programming concepts,37,42.5
United Kingdom,Creating test cases or testing strategies,34,39.1
United Kingdom,Generating technical documentation,33,37.9
United Kingdom,Summarising technical material,32,36.8
United Kingdom,Designing software architectures,15,17.2
United States,Writing or debugging code,59,80.8
United States,Creating test cases or testing strategies,38,52.1
United States,Generating technical documentation,31,42.5
United States,Summarising technical material,31,42.5
United States,Learning or teaching programming concepts,25,34.2
United States,Designing software architectures,15,20.5
